iter	RMSE
411	0.1340967013
412	0.1340416052
413	0.1339450107
414	0.1338578806
415	0.1338049168
416	0.1337591364
417	0.133723952
418	0.1336841871
419	0.1335751472
420	0.1335315076
421	0.1334901827
422	0.1334534349
423	0.1334319806
424	0.1333552262
425	0.1332787686
426	0.1332209075
427	0.133114488
428	0.1330682136
429	0.1330104259
430	0.1329328895
431	0.1329038562
432	0.1328428328
433	0.1327839474
434	0.1327052479
435	0.1326596026
436	0.1325675939
437	0.1325148109
438	0.1324438433
439	0.1323958597
440	0.132329611
441	0.132301839
442	0.1322507907
443	0.1322060975
444	0.1321606988
445	0.1320727292
446	0.1320186376
447	0.1319643699
448	0.1319110016
449	0.1318658006
450	0.1318254562
451	0.1317460274
452	0.1316999532
453	0.1316822306
454	0.131604236
455	0.1315639687
456	0.1314911034
457	0.1314576229
458	0.1314163422
459	0.1313899681
460	0.1313496944
461	0.1313250983
462	0.1312383748
463	0.1311717813
464	0.131139972
465	0.1310589324
466	0.1309823546
467	0.1309331687
468	0.1309015026
469	0.1308390672
470	0.1308377071
471	0.1307712553
472	0.1306870869
473	0.130612142
474	0.1305461074
475	0.1305050234
476	0.130473149
477	0.130424717
478	0.130368311
479	0.1301667325
480	0.1300791581
481	0.1300314778
482	0.1299375197
483	0.1299001749
484	0.1298805508
485	0.1298401423
486	0.1297723824
487	0.12974276
488	0.1297062663
489	0.1296400042
490	0.1296103852
491	0.1295510758
492	0.1294788784
493	0.1294371933
494	0.1294250502
495	0.1293752165
496	0.1293425341
497	0.1293150748
498	0.1292705179
499	0.1292208605
