iter	Passed	Remaining
421	3097	572
422	3103	564
423	3109	557
424	3114	549
425	3121	542
426	3127	534
427	3133	527
428	3139	519
429	3145	512
430	3152	504
431	3159	497
432	3165	489
433	3171	482
434	3176	474
435	3187	467
436	3194	460
437	3208	454
438	3218	447
439	3230	440
440	3241	433
441	3251	426
442	3258	419
443	3267	412
444	3274	404
445	3282	397
446	3290	390
447	3299	382
448	3306	375
449	3312	368
450	3321	360
451	3331	353
452	3340	346
453	3348	339
454	3355	331
455	3362	324
456	3370	317
457	3378	309
458	3385	302
459	3393	295
460	3400	287
461	3408	280
462	3414	272
463	3422	265
464	3429	258
465	3438	250
466	3447	243
467	3456	236
468	3464	229
469	3471	221
470	3473	213
471	3481	206
472	3487	199
473	3495	191
474	3503	184
475	3511	177
476	3520	169
477	3529	162
478	3536	155
479	3542	147
480	3551	140
481	3560	132
482	3568	125
483	3576	118
484	3582	110
485	3592	103
486	3599	96
487	3609	88
488	3618	81
489	3626	74
490	3634	66
491	3643	59
492	3651	51
493	3659	44
494	3667	37
495	3674	29
496	3683	22
497	3691	14
498	3702	7
499	3713	0
